bcr_patient_barcode;dataset;GATA3;PTEN;XBP1;ESR1;MUC1;FN1;GAPDH
BRCA106;BRCA;1210625;0.771357142857143;2,23267E+14;4,13567E+14;308425;0.526791666666667;-1,40467E+14
BRCA107;BRCA;1926625;1,09343E+14;2,87783E+14;3,25717E+14;337025;0.128833333333333;-14135
BRCA108;BRCA;17355;0.882428571428571;3,05258E+14;4,65717E+14;330225;20435;-0.522916666666667
BRCA109;BRCA;1544;1,23107E+14;4,29767E+14;3,97508E+14;3101;1,16742E+14;-0.853333333333333
BRCA110;BRCA;247175;0.964071428571429;1,47767E+14;2,48817E+14;27215;1,56442E+14;-1,11683E+14
BRCA111;BRCA;215475;0.674285714285714;3,33533E+14;5,78758E+14;2656625;0.534666666666667;-0.140083333333333
BRCA112;BRCA;-2.05;0.725714285714286;-1003;-1,67058E+14;32685;-0.573166666666667;-1018
BRCA113;BRCA;1136;0.760071428571429;3,73458E+14;4,75742E+14;2345375;-0.64225;-132275
BRCA114;BRCA;-0.931375;-0.101571428571429;-0.517;-4,41533E+14;0.996625;-0.36875;-0.616
BRCA115;BRCA;2733375;1,31343E+14;3,77183E+14;4,61842E+14;267175;0.340416666666667;-1,39433E+14
BRCA116;BRCA;-0.690625;0.5535;11575;-0.456666666666667;1841;0.289791666666667;0.362916666666667
BRCA117;BRCA;0.88925;0.831857142857143;2,29792E+14;5.12;0.124625;2074875;-10135
BRCA118;BRCA;3146;0.819642857142857;3,08242E+14;4397;308675;-0.468708333333333;-0.916833333333333
BRCA119;BRCA;1476875;0.0414285714285714;2,96567E+14;4,81092E+14;2206875;-0.725541666666667;-0.6995
BRCA120;BRCA;2340375;0.478142857142857;2,76517E+14;3,53408E+14;178975;0.784666666666667;-0.501666666666667
BRCA121;BRCA;3867625;0.505071428571429;3,51608E+14;5903;2856875;-1,34521E+14;-1,88258E+14
BRCA122;BRCA;2325375;0.409071428571429;249775;413025;369825;140875;-1,34658E+14
BRCA123;BRCA;207175;11755;2,28458E+14;426625;-16605;0.660291666666667;-184625
BRCA124;BRCA;1814875;0.8925;2,33958E+14;3,98042E+14;-1551875;1,45508E+14;-1,27108E+14
BRCA125;BRCA;241475;-0.729071428571429;2,67242E+14;4,51558E+14;33885;0.940125;-1,50333E+14
BRCA126;BRCA;2.15;0.287357142857143;2,84042E+14;243725;2952375;1,65108E+14;-0.478083333333333
BRCA127;BRCA;2650125;0.733;2,37883E+14;509175;3834375;0.079625;-17795
BRCA128;BRCA;150675;0.0767857142857143;2381;42345;1466875;1,19421E+14;-1,28467E+14
BRCA129;BRCA;33445;0.562714285714286;3,45133E+14;448475;206675;0.364416666666667;-0.62925
BRCA130;BRCA;-13665;0.726071428571428;-0.710583333333333;2,27383E+14;0.045625;1178625;-161875
BRCA131;BRCA;1404625;0.6275;25055;5,25117E+14;163975;-1,61117E+14;-0.914166666666667
BRCA132;BRCA;234275;0.872714285714286;0.349833333333333;0.58725;121025;1,29754E+14;-0.32675
BRCA133;BRCA;0.88225;0.558;2,05142E+14;1,58833E+14;0.949875;-0.0567083333333334;-1,46592E+14
BRCA134;BRCA;2413375;1,05086E+14;2,62217E+14;2,84767E+14;2739375;13945;-1,05217E+14
BRCA135;BRCA;0.919875;0.557571428571428;2,29292E+14;2,99542E+14;2518625;0.951375;-0.746583333333333
BRCA136;BRCA;-377425;0.421142857142857;0.530666666666667;-2972;1107;0.0501666666666667;-1,27967E+14
BRCA137;BRCA;262875;1,10157E+14;311975;4,60983E+14;2758625;0.601541666666667;-0.269583333333333
BRCA138;BRCA;228425;0.521571428571429;2,49958E+14;4,20833E+14;33165;0.569708333333333;-1,01408E+14
BRCA139;BRCA;-1908375;0.570142857142857;16075;-1,59042E+14;1581625;109125;-1,49983E+14
BRCA140;BRCA;2436625;0.941785714285714;1,69983E+14;2,87292E+14;308125;2237625;-0.794583333333333
BRCA141;BRCA;2420125;0.858785714285714;1,73242E+14;4,75333E+14;299025;0.635416666666667;-0.825416666666667
BRCA142;BRCA;3507375;0.606928571428571;3,81508E+14;44125;-0.66225;-0.160541666666667;-2,04942E+14
BRCA143;BRCA;157875;0.786857142857143;3,11933E+14;1894;2809375;-0.154375;-0.588333333333333
BRCA144;BRCA;2265;0.458142857142857;2,97292E+14;447925;318575;0.495333333333333;-1,84117E+14
BRCA145;BRCA;-0.40325;0.3545;2,69508E+14;1,05742E+14;2480625;0.668041666666667;-0.439083333333333
BRCA146;BRCA;212175;1,17743E+14;301925;403775;3405375;0.425125;-1,29467E+14
BRCA147;BRCA;1455;1,65936E+14;333225;4,24817E+14;3274;1068375;-1,49692E+14
BRCA148;BRCA;1271125;0.545071428571429;1,78908E+14;36665;258675;2,04371E+14;-1,54017E+14
BRCA149;BRCA;2345125;1,13357E+14;4,48758E+14;5339;3499;-0.13925;-15495
BRCA150;BRCA;2356375;0.710214285714286;3,16558E+14;3,54442E+14;2413375;163875;-0.8365
BRCA151;BRCA;238375;0.519;3371;4484;319275;0.37675;-152675
BRCA152;BRCA;21285;0.674785714285714;1,95342E+14;4634;3355;0.239875;-1,18792E+14
BRCA153;BRCA;22375;1,06743E+14;28265;1,90508E+14;0.44475;0.828541666666667;-11985
BRCA154;BRCA;2267;-0.208714285714286;3,45208E+14;4,78642E+14;281475;0.0962916666666667;-1,42333E+14
BRCA155;BRCA;0.339125;1,40343E+14;306475;-0.0699166666666667;3842875;-0.343125;-117675
BRCA156;BRCA;2349625;0.766571428571429;2,46208E+14;304125;328675;0.695583333333333;-0.823666666666667
BRCA157;BRCA;349425;-0.109428571428571;3,82008E+14;5,24433E+14;259925;-2,24146E+14;-135275
BRCA158;BRCA;0.92275;-1,33807E+14;3,28942E+14;4,78392E+14;13165;-0.08725;-176675
BRCA159;BRCA;212075;1,28907E+14;3127;439425;3073;0.101916666666667;-0.803
BRCA160;BRCA;1640375;0.674928571428572;2483;4,78767E+14;1857125;0.784458333333334;-1,98408E+14
BRCA161;BRCA;19755;1,13836E+14;2,35758E+14;3,26067E+14;254675;189325;-0.528916666666667
BRCA162;BRCA;2037625;-0.499714285714286;2,31608E+14;3839;286675;1,51704E+14;-1,01108E+14
BRCA163;BRCA;251825;0.570642857142857;34245;3,74717E+14;32175;0.905166666666667;-201325
BRCA164;BRCA;1120125;0.481928571428571;14815;3,39942E+14;3.74;-0.121208333333333;-0.2405
BRCA165;BRCA;0.006125;-0.0158571428571429;1,62692E+14;-2,10583E+14;2063375;0.314125;-0.928083333333333
BRCA166;BRCA;2449875;-0.369714285714286;1,89358E+14;4,00733E+14;4046875;-139275;-1,63833E+14
BRCA167;BRCA;2705;0.890642857142857;3,35358E+14;4,92642E+14;3618;1,14083E+14;-0.655666666666667
BRCA168;BRCA;28435;-0.773071428571429;4,03283E+14;4,87117E+14;2965;0.467791666666667;-150275
BRCA169;BRCA;1699125;0.843071428571429;1,38608E+14;3,37958E+14;254075;-1513125;-1,23708E+14
BRCA170;BRCA;190475;0.9735;2,93158E+14;2,52492E+14;35365;0.0426666666666667;-0.429666666666667
BRCA171;BRCA;-1107125;0.645071428571429;0.736583333333333;-1,39983E+14;234125;0.339333333333333;-1,29883E+14
BRCA172;BRCA;19605;0.770142857142857;3,30158E+14;4,62867E+14;2833;0.73025;-1152
BRCA173;BRCA;2494375;0.445857142857143;2,86758E+14;5,27958E+14;252775;0.169166666666667;-1,47617E+14
BRCA174;BRCA;1520375;0.636857142857143;292375;4,87692E+14;2508625;1,42083E+14;-1,03933E+14
BRCA175;BRCA;169175;0.729642857142857;3,02708E+14;4,02208E+14;2958375;2037375;-1,23333E+14
BRCA176;BRCA;30045;-0.0689285714285715;3,41642E+14;4526;16895;-0.51825;-0.995083333333333
BRCA177;BRCA;2470625;0.980928571428571;3,75583E+14;3,28208E+14;0.906625;1,86179E+14;-1,41342E+14
BRCA178;BRCA;172375;0.668785714285714;2,47008E+14;457475;2944875;0.663166666666667;-1,54667E+14
BRCA179;BRCA;216725;1,49436E+14;235925;4,77667E+14;2.23;1,10567E+14;-1,11292E+14
BRCA180;BRCA;187125;1,17107E+14;2,80558E+14;2,67217E+14;2335375;1,97433E+14;-16255
BRCA181;BRCA;-0.16375;0.609571428571429;1,26642E+14;-0.113416666666667;1301625;-0.85575;-1686
BRCA182;BRCA;-4942875;-2,39836E+14;-0.637083333333333;-411025;0.410375;-109025;-1,45117E+14
BRCA183;BRCA;1624375;0.487571428571429;2,28442E+14;391625;1210875;0.0960833333333333;-0.478666666666667
BRCA184;BRCA;2239125;0.151428571428571;289825;3,86008E+14;2299;-0.435208333333333;-0.824416666666666
BRCA185;BRCA;-15975;0.790142857142857;0.585083333333333;-301625;1115;0.933791666666667;-0.113333333333333
BRCA186;BRCA;18045;-0.305428571428571;183425;460075;0.257375;2,56271E+14;-0.795333333333333
BRCA187;BRCA;0.363375;-2,32321E+14;-1,43042E+14;-2,32108E+14;-2393;-0.663041666666667;-0.246083333333333
BRCA188;BRCA;128725;0.690428571428571;2,48133E+14;2422;315325;1,69783E+14;-0.848833333333333
BRCA189;BRCA;-3624;-1,70471E+14;-1,37983E+14;-3,71842E+14;-0.94975;-0.323583333333333;0.106166666666667
BRCA190;BRCA;269875;1,07343E+14;101125;4,30483E+14;2249375;0.866;-1,78217E+14
BRCA191;BRCA;317075;1,17057E+14;1,67133E+14;3,01767E+14;289275;0.00508333333333335;-1,83908E+14
BRCA192;BRCA;-3624625;2,18421E+14;-1,10867E+14;-413025;-2079125;-0.896333333333334;-0.44925
BRCA193;BRCA;2371375;1,04264E+14;2,48817E+14;5,18733E+14;3048375;-0.0312083333333333;-159625
BRCA194;BRCA;0.268875;0.130071428571429;0.17225;-3,57742E+14;265625;-1,29333E+14;-111525
BRCA195;BRCA;1244625;1,31743E+14;1,68008E+14;2,98083E+14;247525;1,89504E+14;-18585
BRCA196;BRCA;2316125;1,01364E+14;2,77508E+14;4643;3425;-0.33;-2,27983E+14
BRCA197;BRCA;2315;0.343357142857143;165625;2,87942E+14;263625;0.346333333333333;-0.989666666666667
BRCA198;BRCA;1188625;0.551357142857143;0.580666666666667;-1,21458E+14;19875;1,46333E+14;-0.594666666666667
BRCA199;BRCA;127475;0.849642857142857;2,38167E+14;4.3;3354375;-0.481625;-16315
BRCA200;BRCA;-1868375;0.446642857142857;-10755;-0.447833333333333;1038125;0.693708333333333;-0.4115
BRCA201;BRCA;2180125;0.339357142857143;2,03208E+14;4,01542E+14;-0.388875;1,42067E+14;-0.361083333333333
BRCA202;BRCA;237625;0.529785714285714;1,91517E+14;3,69792E+14;1300875;0.922416666666667;-194975
BRCA203;BRCA;-170975;1,13579E+14;0.732333333333333;-41725;-18495;0.00112499999999999;0.210833333333333
BRCA204;BRCA;2046875;0.964142857142857;3,50608E+14;421075;3456;0.278916666666667;-1,63167E+14
BRCA205;BRCA;0.86175;1,23221E+14;138725;1924;22615;323075;-0.298833333333333
BRCA206;BRCA;16745;1,61079E+14;2,14283E+14;422175;334025;1,20667E+14;-0.1755
BRCA207;BRCA;2569125;0.294785714285714;3,93642E+14;5569;3920375;0.984541666666667;-1,57033E+14
BRCA208;BRCA;2277375;0.690142857142857;2,08708E+14;5,19058E+14;3842375;0.524875;-0.870083333333333
BRCA209;BRCA;1538375;0.752714285714286;2,50667E+14;4,04792E+14;1032375;1,49817E+14;-1,83883E+14
BRCA210;BRCA;2821375;0.9165;2,36358E+14;567075;0.397625;-1,04292E+14;-1,93117E+14
BRCA211;BRCA;-2235625;0.255;-0.230666666666667;0.114416666666667;1884;-0.125625;0.858583333333333
BRCA212;BRCA;2401625;0.754;2,62158E+14;4,59367E+14;2797375;0.49275;-0.940083333333333
BRCA213;BRCA;139775;1,53471E+14;1,67083E+14;2,18433E+14;197825;1,39642E+14;-0.00733333333333333
BRCA214;BRCA;17015;1,14214E+14;15125;2,30958E+14;279775;0.782875;-1,60842E+14
BRCA215;BRCA;2329875;0.343714285714286;31175;1,61692E+14;0.926625;-0.288458333333333;-0.131416666666667
BRCA216;BRCA;2716375;-0.404857142857143;0.248916666666667;22985;2030375;1,53446E+14;-0.924166666666667
BRCA217;BRCA;2266;0.181428571428571;3512;4,23792E+14;1714;-0.939416666666667;-1,32358E+14
BRCA218;BRCA;2763375;0.153785714285714;2,25958E+14;4,40492E+14;-1270875;-0.403625;-1,55417E+14
BRCA219;BRCA;284425;0.901214285714286;1,92508E+14;3,81108E+14;13525;-1263875;-1,18808E+14
BRCA220;BRCA;2177375;-0.255142857142857;2067;2.38;124825;-1,03654E+14;-1,79667E+14
BRCA221;BRCA;-0.996375;1453;0.05575;-160025;225425;0.806916666666667;-0.581333333333333
BRCA222;BRCA;21805;0.851571428571429;2393;2,59417E+14;1468875;0.494291666666667;-16395
BRCA223;BRCA;0.150625;-1,61564E+14;20535;-174525;139925;0.07925;-0.781166666666667
BRCA224;BRCA;35125;0.545714285714286;2,46592E+14;4,86017E+14;-0.191125;-180025;-126475
BRCA225;BRCA;-302475;0.911071428571429;-0.262833333333333;-3,17008E+14;27195;0.349583333333333;-0.483583333333333
BRCA226;BRCA;3149875;1,13364E+14;210875;349725;339625;1,45117E+14;-1,64167E+14
BRCA227;BRCA;-0.578;-0.965928571428572;-0.963916666666667;-1,21267E+14;1312125;0.089;-0.600666666666667
BRCA228;BRCA;246925;0.00835714285714286;19085;498875;211825;-0.11125;-1,23767E+14
BRCA229;BRCA;2521625;1,03593E+14;212025;4,39908E+14;3497875;1,12546E+14;-12105
BRCA230;BRCA;165825;0.933785714285714;0.01825;3,15242E+14;0.409375;0.825125;-1,40592E+14
BRCA231;BRCA;1434375;0.7295;1726;305675;342775;1,26708E+14;-1,56908E+14
BRCA232;BRCA;2069875;0.261071428571429;0.396833333333333;2,48008E+14;2080375;-0.620375;-1277
BRCA233;BRCA;0.783375;0.545142857142857;0.224416666666667;25715;-0.022;-215225;-1665
BRCA234;BRCA;152525;-1,66079E+14;2,43292E+14;3,41158E+14;3033875;-1,03517E+14;-0.0893333333333333
BRCA235;BRCA;-0.547625;11375;1,30808E+14;-17225;3327125;1,46483E+14;-10735
BRCA236;BRCA;1575875;1,60686E+14;3,57558E+14;3,73133E+14;3174875;0.359;-1,51558E+14
BRCA237;BRCA;3765875;1,15907E+14;2687;3,69633E+14;104075;-0.913375;-1,48992E+14
BRCA238;BRCA;2972;1,21814E+14;3,52917E+14;477225;0.78075;-2,23121E+14;-20225
BRCA239;BRCA;232575;1,72214E+14;2,69492E+14;43685;30605;-0.248125;-1,36608E+14
BRCA240;BRCA;-179525;-0.261230769230769;-228225;-3,82864E+14;-0.29275;-0.181666666666667;-1,08542E+14
BRCA241;BRCA;2260625;0.995357142857143;23895;204625;3370625;154425;-1007
BRCA242;BRCA;-176325;-1535;-151825;-4,56358E+14;1673125;-150675;-0.335416666666667
BRCA243;BRCA;284325;0.587285714285714;2,80692E+14;5,24108E+14;35735;-1657875;-1,13067E+14
BRCA244;BRCA;3254;0.351214285714286;183725;20705;142975;0.699916666666667;-1.49
BRCA245;BRCA;-292075;-0.351928571428571;-0.476666666666667;0.1615;3622625;-0.44875;-0.868
BRCA246;BRCA;-0.21325;-0.2855;-0.569583333333333;-1,25592E+14;-0.314875;0.0180416666666667;0.32425
BRCA247;BRCA;2570375;1,67557E+14;1,36342E+14;3,11917E+14;3622125;0.19025;-1,01858E+14
BRCA248;BRCA;200225;1,02321E+14;375625;6,11083E+14;307075;-1935875;-1.84
BRCA249;BRCA;2549125;0.6915;1,88492E+14;2,67783E+14;313025;1,66021E+14;-157275
BRCA250;BRCA;-11815;0.227071428571429;2,07358E+14;-10685;272475;0.984125;-1,44133E+14
BRCA251;BRCA;18075;0.880714285714286;2259;2,70758E+14;2913625;-0.501;-1,02533E+14
BRCA252;BRCA;-0.192;-0.0598571428571429;-1,63742E+14;-4,02667E+14;-1008125;0.321041666666667;0.258083333333333
BRCA253;BRCA;1686;0.336928571428571;3,65492E+14;4,15933E+14;256625;-0.046625;-1474
BRCA254;BRCA;3395125;0.438285714285714;4,04117E+14;6,00108E+14;-1702875;-12265;-1,17858E+14
